Price,Doors,Seats,Safety,Worth
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
Low,Four,Two,Low,No
Low,Four,Two,Medium,No
Low,Four,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
High,> Five,Two,Low,No
High,> Five,Two,Medium,No
High,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Medium,> Five,Two,Low,No
Medium,> Five,Two,Medium,No
Medium,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
Low,> Five,Two,Low,No
Low,> Five,Two,Medium,No
Low,> Five,Two,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,Yes
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,Yes
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,No
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,Yes
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,Yes
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,No
High,Two,Four,High,Yes
High,Two,Four,Low,No
High,Two,Four,Medium,Yes
High,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,No
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,No
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,No
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,No
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Medium,Two,Four,Low,No
Medium,Two,Four,Medium,Yes
Medium,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,No
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,No
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
Low,Two,Four,Low,No
Low,Two,Four,Medium,Yes
Low,Two,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,Yes
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,Yes
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,No
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,Yes
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,Yes
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,No
High,Three,Four,High,Yes
High,Three,Four,Low,No
High,Three,Four,Medium,Yes
High,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,No
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,No
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,No
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,No
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Medium,Three,Four,Low,No
Medium,Three,Four,Medium,Yes
Medium,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,No
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,No
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
Low,Three,Four,Low,No
Low,Three,Four,Medium,Yes
Low,Three,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,Yes
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,Yes
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,Yes
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,Yes
High,Four,Four,High,Yes
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
High,Four,Four,Low,No
High,Four,Four,Medium,No
High,Four,Four,High,No
